author,comment,likeCount,publishedAt
@heruramadanisaputra9575,suara hasil perekaman video di hpnya kek mendem gitu bang,0,2025-10-29T17:39:50Z
@Ustadz_Squidward562,"""Xiaomi niru iPhone"" salah aslinya ada Xiaomi MI 11 ultra liat dulu hp sebelumnya jangan langsung fomo",0,2025-10-30T02:38:17Z
@miriokun2296,"awas bang di geruduk fans ip yg penuh inovasi,,haha

Transsion Holding sedang memantau,,haha",0,2025-10-30T02:24:05Z
@FinnGerme-x3b,keren,0,2025-10-29T21:58:47Z
@MuhammadUlvia,"Handphone nya Panas 🔥.

Sorry ngak tertarik 😅",0,2025-10-30T17:32:15Z
@mbakining,Nyimak sheringnya,0,2025-10-30T01:33:58Z
@ezafahlevi123,Desain belakangnya Malah mirip Kayak ZTE BLADE A54😂,0,2025-10-29T17:00:11Z
@user-vr7us9dp4p,Bang Kapan riview VIVO 300 PRO,0,2025-10-30T16:27:31Z
@pujiono-d8u,Kapan bahas Samsung A17,0,2025-10-30T04:38:41Z
@tonysetiawan3886,2025 iphone di roasting abis2an.. gw bilang sih percuma.. klo mau Roasting langsung di depan muka nya Tim cook..,0,2025-10-30T00:36:46Z
@adf4503,"Ya cuma nonton aja, beli salah satu aja kayaknya gadulu",0,2025-10-30T03:38:31Z
@DianNasir,Wow😮,1,2025-10-30T18:41:11Z
@TDRMemphis,Tetep nonton Gadgetin walau udah berkali kali liat review Xiaomi 17 pro max,0,2025-10-29T15:41:59Z
@kocakl56-b8m,Apakah ini chipset terbaru dengan kembalinya isu SD888 yg super hot😂,0,2025-10-30T05:48:22Z
@RasyaEfrinal-e2m,Saya lebih suka menyebutnya sindiran dari pada niru😂😂,0,2025-10-30T06:37:46Z
@rangerbiru12,Liburannya GK main2 ke  mamarika..😮,0,2025-10-31T00:27:06Z
@Niqhtbot,06:03 suaranya merdu juga,1,2025-10-30T06:58:33Z
@Wahyu-t5n,Menurut gue Xiaomi ga niru sama sekali. Bahkan lebih baik desainnya dari iPhone.,0,2025-10-30T05:25:58Z
@dianrusdiana8943,"Oppo find x9 kapan d bahas nih bang David penasaran sama generasi yg sekarang 
Yg seru x8 aja udah bagus soalnya",0,2025-10-29T15:21:24Z
@AndiePratama093,"Jadi pengeeeeeeennn...

 
Punyaku masih Xiomi POCO X7 PRO",0,2025-10-29T17:12:57Z
@tanganayah,"tungguin aja bentar lagi itel dan kawan mau bikin yang ada layar di belakang ya . he"" ..",0,2025-10-30T01:46:45Z
@abdulfakhruddin3976,Genshin genshin.. Buset dah butuh spek kek apaan sih Chipset Naga 8 elite masih keteteran 😌,0,2025-10-30T06:35:02Z
@fathurrozak573,"Nonton dengan hp sharp R 3 deat touch, ngetik pake keyboard portabel😮😂😂",0,2025-10-31T01:33:10Z
@rq038,infonya bang layar dibelakang bisa buat vidio call gk?,0,2025-10-30T00:03:46Z
@karaokelagurohani212,coba rekam live music di cafe ....sound nya pecah atau ngga spt iphone bang...,0,2025-10-29T20:32:09Z
@suryaramadhan6094,Riview oppo find X9 bang,0,2025-10-30T18:21:35Z
@tvättbjörn-q5o,"NO HATE! Sebenernya apresiasi banget sih buat xiaomi yang mau kasih fungsionalitas baru dari modelan ""plateau"" kamera hape mereka. Cuma jujur gw jadi inget kasusnya touch bar di macbook yang tau lah nasibnya gak tahan lama. Dulu touch bar cuma ada di macbook versi pro yang mana gak semua orang punya, dan dampaknya apa? Audience dikit dan merembet ke hilangnya minat developer buat pake itu fitur. Layar kecil ini cuma ada di pro max aja kan? Gw disini cuma khawatir masa depannya fiturnya xiaomi 17 pro max yang layar kecil dibelakang apa bisa continuity sampe jangka panjang. Gw juga berasumsi kalo apple punya pertimbangan yang mirip sebelum mereka keluarin fitur serupa.😂",0,2025-10-29T20:12:59Z
@magicchess9466,Bang lu nggk tau kalo ada casing khususnya yg bisa mainin mini game dilayar belakangnya?,0,2025-10-29T15:17:29Z
@jerichoyusufa_,mantap,0,2025-10-30T18:48:39Z
@risyadfaizal7510,👍🏻,0,2025-10-29T21:21:40Z
@anwarfirdaus176,Jujur design nya bagusan xiaomi,0,2025-10-30T15:08:29Z
@abdulfattahthea,"8:23 Mi 11 ultra juga udah kayak gitu,masa iya ngikutin apple😂",0,2025-10-30T06:15:25Z
@along_90,Kapan hadir resmi di indonesia,0,2025-10-29T20:25:59Z
@adrianwan7765,Persiapan Rivew oppo Find X9,0,2025-10-30T05:28:09Z
@Xeynor718,rrq gak lolos play off,0,2025-10-30T10:53:25Z
@mayasari-j3i,review samsung a17 4g dong,0,2025-10-30T10:27:21Z
@indahdamayanti8272,"pertama kali lihat lgsung menarik hati banget sihh xiaomi, cantik bgt.",0,2025-10-30T12:12:46Z
@UnikpediaChannel-f4c,ngetes gamenya gelembung sahabat mulu wkwk,0,2025-10-31T02:43:17Z
@rizaldiputra6675,review hp red magic 11 pro+ dong,0,2025-10-30T07:26:46Z
@GidionYoel,Bang riview realme 15T 5g  terbaru,0,2025-10-30T13:56:16Z
@TahrirAlFatih,Wellcome back om David! 🥹,0,2025-10-30T22:38:50Z
@prayoganeo2181,"Bang gak mau review xpad kah, tablet murah yg kayaknya oke deh kalau di review buat tablet mendang mending",0,2025-10-29T15:14:29Z
@agusprasetyo7541,Perasaan Poco M4 pro saya juga gini desainnya 😂😂,0,2025-10-30T08:25:01Z
@ryoxrico4275,Makin kesini makin somse,0,2025-10-30T04:51:00Z
@mrmistiqiu,"YG DIRINDUKAN DARI SUATU HP ADALAH GRATISAN ANTIGORES,CASHING DAN HEDSHEET",0,2025-10-30T21:31:34Z
@waqfulwaqti3113,Xiaomi mau ngajarin kita kalo branded price itu ga worth it buat kaum mendang mending..,0,2025-10-30T00:01:19Z
@korimexmex,Nonton pake Samsung S25 Ultra,0,2025-10-29T17:53:44Z
@vocaloid8609,Kalo kalian sadar modelnya mirip mi11ultra yg layar belakangnya digedein,0,2025-10-30T04:32:18Z
@imammutakim639,17 pro max belum lu riview boyyyy,0,2025-10-30T22:22:06Z
@muhmizwar3699,Bangg cba bahas laptop untuk kuliah bang,0,2025-10-30T09:46:01Z
@mrsrielix1077,Tetep bang mau sekeren apaapun lawan ny  tetep xiaomi di hati .. 😂,0,2025-10-30T14:22:58Z
@Yaaaaaayy,Kalo aku mending Xiaomi nya🗿 udah mantep buat main game,0,2025-10-30T07:37:14Z
@Mokelcok,iPhone malah niru Poco produknya Mi Phone😂😂😂,1,2025-10-31T03:45:52Z
@Adamsukatugas321,Redmi K90 pro max bang,0,2025-10-29T17:34:33Z
@pugohkhavid4299,"permisi kok xiaomi 17 pro ku ada bunyi bunyi ya kalo goyang goyangin di bagian atasnya, infondong",1,2025-10-29T16:50:01Z
@ArjunAnggara-h5s4o,ternyata ga semenarik itu,0,2025-10-30T04:43:21Z
@prasetyoprayitno9140,Habis ini redmi k9 bang,0,2025-10-29T15:36:00Z
@wahyu.nur.riski.a2886,Xiaomy keren bgt 👍,0,2025-10-29T23:56:40Z
@ramyahrfz,Buat bagian belakang itu dikasih buntung kanan kirinya biar layarnya aman,0,2025-10-29T16:12:24Z
@i2o3ooii9_danielepipanus,Tim hobby update hp Xiaomi ❤,0,2025-10-29T18:19:53Z
@Bagusprayogo-g3u,"Gua pengen kerja sama lu bang David , jadi apa aja",0,2025-10-30T20:14:38Z
@NobitaDoraemon-hu5pl,"Fitur yg ada kucing itu lucu sih, pasti para betina suka dgn hp kaya gini.. 😂",0,2025-10-30T03:37:51Z
@RUANG_PODCAST00,moto g86 power terlupakan well,0,2025-10-30T14:35:59Z
@harapansinar8687,"bang david, ditunggu barang2 anehnya... buat kaum rebahan.",0,2025-10-30T01:23:55Z
@KoryFv,Xiaomi lagi recall recallin hp minim invoasi,0,2025-10-30T02:13:51Z
@satriobayupurnomo3922,Main game di belakang gak di cobain?,0,2025-10-30T13:22:00Z
@Dewaflim2231,19:23 aku melihat dia ingin membuat wallpa kamera dijadikan kacamata 😭🤣,0,2025-10-29T21:05:07Z
@Henzy64,20:57 ga expect sumpah🤣🤣🤣yg masang aja kaget sama muka sendiri apalagi yg nonton 🤣🤣,0,2025-10-31T01:04:57Z
@ashariari312,"Kualitas foto & videonya 🤯
Baru kali ini kagum nonton review HP Xiaomi.",21,2025-10-29T16:27:28Z
@ceritadaritimur-n6u,Nyimak selalu,0,2025-10-29T22:33:27Z
@julinuryanto,"Xiaomi 16 Pro Max itu desainnya mirip iPhone 17 Pro belakangnya ga ada layarnya, hanya frame biasa seperti iPhone 27 Pro",0,2025-10-30T00:52:47Z
@youtubernolep8135,bang david bahas iqoo z10R dong 🎉,0,2025-10-30T05:36:04Z
