author,comment,likeCount,publishedAt
@DeriPrayoga-w7q,Honor x9d bang coba di up kenapa nggak muncul di store Indonesia,0,2025-10-30T14:22:50Z
@NiamBaihaqi-l2w1l,"Kurang lengkap gasih mas,harusnya layar belakang masih ada game nya,tapi pake case khususnya gatau apa namanya",0,2025-10-30T15:50:38Z
@Yosephu666,"wah cocok buat main genshin impact, saya mau warna ungu",0,2025-10-30T05:43:09Z
@ipenk91,Akhirnya yang di tunggu tunggu,0,2025-10-30T10:36:32Z
@BennySihite-qd4bu,Bang review Poco M7 Pro 5G donggg,0,2025-10-30T09:39:55Z
@CancerCancer-k3n,BG review,0,2025-10-29T17:13:37Z
@k2msMotor,"bang,bahas vivo y21d bang",0,2025-10-30T08:22:44Z
@sugengtrisetiawan832,Sama satu lg bang fitur layar belakang bisa main game dengan gamepad tambahan klo ga salah😊,0,2025-10-30T08:39:17Z
@ghiyanrangga,Xiaomi mirip Apple atau sebaliknya?,0,2025-10-30T04:36:53Z
@neezy5598,Yang di tunggu,0,2025-10-29T15:01:03Z
@wandiexbae,"Bagusan Redmi K90 pro max, 
antutu 4 jt, speaker 3 biji dgn 1 woofer bose",0,2025-10-30T03:15:41Z
@SD-xw9kn,"Idea kalau mau record genshin - gamenya harus dimainin dulu 1 jam ...habis itu relog . Dari pengalaman gw kalau genshin yg baru download atau cache nya di hapus , gamenya bakal frame drop",0,2025-10-30T10:28:22Z
@agussetya7579,Unboxing one plus pad 3 plis,0,2025-10-30T07:11:05Z
@indaharinaputri9709,Bang iphone 16 promax vs iPhone 17 promax kapan?😢😢,0,2025-10-30T23:25:51Z
@arieon7,nah ini,0,2025-10-30T00:57:37Z
@RiskiDafi-eu8dx,Sampai umur berapa aku bisa beli iphone,0,2025-10-30T12:16:45Z
@ahmadramdanmubarok4417,"Xioami 17 yg direview kayanya bukan buat pasar indonesia. diliat dari adaptor/chargernya, stiker imei",0,2025-10-30T05:55:20Z
@MuhammadIrvanirvan-c9w,Vivo x200fe bg,0,2025-10-30T05:04:13Z
@ifin7079,"21:44 inovasi ya ,bukan merek buah yg katanya selalu munculin inovasi disetiap seri nya",0,2025-10-30T11:13:24Z
@guwnjourney,Nunggu huawei pura x tapi yg gak lipat 😂😂,0,2025-10-30T11:19:38Z
@SaveMendoan,"Apple mah brandingnya cuma buat para artis,pejabat sma cwe2 doang yg ga ngerti2 amat teknologi dan inovasi,mrka taunya gaya2an doang,klo iphone itu hp bagus hpnya orang kaya.maka nya rata2 iphone larisnya ya sama cwe2 doang.",0,2025-10-31T02:26:56Z
@hamidaisyah3023,samsung a32 ku ketar ketir liat ini,0,2025-10-31T02:48:43Z
@andhitohadi,bang boleh kasih hp nya ke aku 1 bang untuk live gaming bg tolong bang david,0,2025-10-29T15:04:55Z
@malikahastajim8013,"Iphone dibuat di negara mana ya? Made in China kah? 😅 Jangan jangan yg bikin sama sama orang sana, makanya bisa contek contekan?",0,2025-10-30T17:00:43Z
@Ainurwahyudi-m9d,"Pengen banget iiiih yakin apa maksain beli yg belom resmi indo, apa nunggu masuk indo aja yaa? Saran dooong",0,2025-10-31T01:20:15Z
@mocheesenotmoci,"bang kalo ngetes genshin bisa gak main combonya yg bener, gregetan banget liatnya 😭😭😭",0,2025-10-29T23:21:47Z
@axzgameplay7533,kenapa ditutup rapat? buat ngelindungin layar bang,0,2025-10-29T23:26:49Z
@Ojie-u8p,10:06 *MENDING XIAOMI BANG* 😊,0,2025-10-29T15:25:50Z
@delta7520,Dari dulu cina selalu meniru produk orang lain yang laku dan itu udah prinsip cina,0,2025-10-30T04:56:31Z
@hrdn97,iphone 17 terinspirasi dari desain modul kamera Poco x6 pro wkwkwk,0,2025-10-30T10:51:58Z
@ShegleGarage,"Ada unsur² LGBTQ+ nya gk, kyk sebelah ?",0,2025-10-30T03:40:19Z
@ianhafizracman6956,Bang. Di tunggu rekomen hp akhir tahun nya😊,0,2025-10-31T04:07:07Z
@PetaniYgBarokah,China kan suka niru,0,2025-10-29T21:07:31Z
@Gwehratdzz55,IlIlIlIlIl,0,2025-10-30T04:27:47Z
@savehaven6019,Vid.....17 = 1+7 = 8 wakkakaka kepikir gak?,0,2025-10-29T15:16:18Z
@AvastaAfsena,Sial kuadrat 😂😂😂😂😂,0,2025-10-30T00:00:22Z
@HanifAlfathoni-n2r,BANG Review NUBIA FOCUS 2 bang Yang Masi fresh itu bang,0,2025-10-30T00:10:30Z
@kade1086,"Sebagus itu emang








Xiaomi 17pro Max ❤❤❤ nunggu resmi baru beli",0,2025-10-30T03:59:33Z
@Bukancinematic,Mirip/sama kayak mi11ultra,0,2025-10-30T09:49:06Z
@saecode,Sebagaimana dulu Apple era Steve menantang produk-produk besar sekarang era nya mereka di tantang dan pada akhirnya siklus nya akan bergeser.,0,2025-10-31T01:05:11Z
@rakaImsyaki-n7g,"09:45 ❤𝐌𝐎𝐍𝐀 𝟒𝐃🔴, terima kasih buat pengalaman seru! Ceritanya bikin mikir, visualnya keren abis! 💎",0,2025-10-31T00:55:02Z
@jojoho13,bang ada yang kurang.... basel belakang bisa maen game jadul pakai casing game.... yah kelewat skip nih,0,2025-10-30T12:52:00Z
@ferdausalamsyah1600,Wah mntab..... Gw doain lu semua... semoga bisa kebeli,12,2025-10-30T01:39:27Z
@ADDZUL2,Wajib masuk nihh di indonesia,0,2025-10-29T23:47:24Z
@dinabudiawan1579,Vivo s30 pro mini bang 😭😭,0,2025-10-30T20:27:34Z
@AaronHoei-p3m,Kok di oren 19 - 21 jt,0,2025-10-30T15:31:27Z
@AngelinaFishy,Reviewnya Iphone 17 ama 17pro kapan bang david 😭,0,2025-10-30T05:22:13Z
@Zxy.AF_02,kanapa ga bisa nyentuh antutu 4jt karna chipsetnya di limit oleh brand hp masing². kalo dicustom rom mungkin bisa ke antutu 4jt,0,2025-10-30T09:58:14Z
@Satriya_bijiHitam,Bro mulai melupakan gopix 😂,0,2025-10-30T12:59:36Z
@Radit-f5i,Seperti biasa' cukup melihat tidak bisa memiliki 🥹,0,2025-10-29T15:29:21Z
@TuhiBingkaiTheExplore,next realme k70 bang,0,2025-10-30T12:53:14Z
@bayufree9210,"Apa bener bang sebenarnya xiaomi sama apple tu di belakang layar kerjasama,,,tp di depan layar seolah2 saingan berat tapi aslinya sama2 buat gebrakan agar sama2 dpt cuan dr rivalnya 2 produk tsb. Namanya dagang kan,,klo kerjasama bs sama2 menghasilkan untung kan why not gt. Software nya xiaomi yg ngerjain pihak apple kah,,apa bnr gt.😊",0,2025-10-30T03:53:54Z
@backtopurrrfectagain6681,Lebih keren modelnya Xiaomi.,0,2025-10-29T23:26:42Z
@PiknikAsik,Hallo kak david😊 kembali',1,2025-10-30T01:06:09Z
@zulle_kzr,"Mantep harganya lumayan terjangkau, terbaik Xiaomi",0,2025-10-30T13:42:11Z
@surikamelati246,"Sebenarnya layar belakangnya bisa buat maen game, krn ada case khusus buat maen game layar belakangnya",0,2025-10-30T09:27:46Z
@Ajakesanat,Kalau masuk indo mau ganti ip 11 ku dehh ke ini tapi please jangan ada iklan dong xiaomi 😅,0,2025-10-30T10:48:21Z
@pagiall2610,Pingin iPhone 😔,0,2025-10-31T00:53:38Z
@arifaswarannas2190,😂😂 Made in China,0,2025-10-30T05:59:44Z
@hendar870,Xiomi 11 Ultra lebih dulu bang,0,2025-10-31T00:49:34Z
